Cruise,Cruise_ID,Day,Month,Year,Date,Latitude,Longitude,Analyst,Mesh_Size,TOTAL_DENSITY,BIOMASS,ASH,COPEPODS,CALANOIDS,CYCLOPOIDA,HAPARCTICOIDA,POECILOSTOMATOIDA,L_FISH,H_FISH,CHAETOGNATHA,CLADOCEROS,OSTRACODA,FORAMINIFERA,AMPHIPODS,ISOPODS,EUPHAUSIIDS,MISYDACEA,SERGESTID,L_CRUSTACEA,N_COPEPOD,C_COPEPOD,N_CIRRIPEDIA,C_CIRRIPEDIA,L_DECAPODA,L_STOMATOPODA,L_EUPHAUSIID,L_SERGESTID,POLICHAETES,L_CYPHONAUTES,MEDUSA,SIPHONOPHORES,CTENOPHORES,L_ECHINODERMS,PTEROPODS,HETEROPODS,GASTROPODS,L_CEPHALOPODA,L_BIVALVE,L_GASTROPOD,PROTOZOAN,RADIOLARIAN,APPENDICULARIANS,SALPS,DOLIOLIDS,BIVALVES,H_CRUSTACEA,L_ANFIOXUS,LUCIFER,JUV_GASTROPOD
71,CAR-071,9,10,2001,2001-10-09,10.5,-64.664,Javier Gutierrez,200,1112.64,26.8331,6.84278,741.76,nd,nd,nd,nd,4.27938,19.9705,21.3969,98.4258,32.8086,2.85292,1.42646,nd,1.42646,0,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,15.6911,0,0,0,7.1323,0,nd,0,0,nd,39.9409,0,91.2935,8.55877,0,0,0,nd,2.85292,nd
71,CAR-071,9,10,2001,2001-10-09,10.5,-64.664,Javier Gutierrez,500,212.942,15.9475,3.30931,160.22,nd,nd,nd,nd,1.3694,6.39054,7.75995,3.87997,1.59764,3.42351,0.456467,0,0,0.684701,0.2282337357990728,3.19527,nd,nd,nd,nd,nd,0,nd,nd,1.14117,0,2.51057,1.14117,0.228234,0,0,0,0,0,0,0,7.53171,0,9.35758,1.82587,0,0,0,0,0,0
72,CAR-072,6,11,2001,2001-11-06,10.498,-64.666,Javier Gutierrez,500,13.4266,2.33661,0.0724179,5.61766,nd,nd,nd,nd,0.498019,0.278891,1.29485,0.0199208,0.338653,1.19525,0.199208,0,0.199208,0,0.01992076966610074,1.17533,nd,nd,nd,nd,nd,0.0398415,nd,nd,0.0199208,0,0.139445,0.0199208,0.756989,0,0.577702,0,0,0,0,0,0,0,0.51794,0.51794,0,0,0,0,0,0
72,CAR-072,6,11,2001,2001-11-06,10.498,-64.666,Javier Gutierrez,200,282.303,7.42849,0.639314,197.284,nd,nd,nd,nd,0,12.2128,7.51556,0,4.2275,0.469723,0,nd,0.469723,0,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0.939445,nd,2.34861,0,1.40917,0.469723,0.469723,0,nd,0,0,nd,34.7595,0,18.7889,0,0,0,0,nd,0,nd
73,CAR-073,11,12,2001,2001-12-11,10.501,-64.668,Javier Gutierrez,200,572.647,5.59624,0.142299,440.181,nd,nd,nd,nd,8.22768,25.5058,18.1009,0.822768,32.9107,3.29107,0,nd,0,0,nd,6.58215,nd,nd,nd,nd,nd,nd,nd,nd,4.11384,nd,0,0,3.29107,0,0,0,nd,0,0,nd,0,0,24.6831,4.93661,0,0,0,nd,0,nd
73,CAR-073,11,12,2001,2001-12-11,10.501,-64.668,Javier Gutierrez,500,8.78655,0.714084,0.182402,4.96766,nd,nd,nd,nd,0.0620957,0.683053,0.636481,0,0.263907,0.294955,0.248383,0,0.170763,0.0776197,0,0.326003,nd,nd,nd,nd,nd,0.0155239,nd,nd,0.0465718,0,0.0776197,0.201811,0.0155239,0,0.0931436,0,0,0,0,0,0.0620957,0,0.217335,0.0310479,0,0.0310479,0.263907,0,0,0
74,CAR-074,10,1,2002,2002-01-10,10.498,-64.665,Javier Gutierrez,200,499.383,10.24,0.51,329.141,nd,nd,nd,nd,0,29.1849,3.24277,81.07,1.62138,1.62138,0,nd,0,0,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,1.62138,0,3.24277,0,1.62,0,nd,0,0,nd,3.24277,0,3.24277,37.2918,0,1.62,1.62,nd,0,nd
74,CAR-074,10,1,2002,2002-01-10,10.498,-64.665,Javier Gutierrez,500,104.94,4.93,0.18,31.63,nd,nd,nd,nd,0.51,1.52,2.23,45.88,1.01,0.74,0.37,nd,0,0.17,0,0.98,nd,nd,nd,nd,nd,0,nd,nd,0.03,nd,0.64,0.14,0.41,0,0.7,0,nd,0,0,nd,0.2,0,0.07,18,0,0.03,0.3,0,0.41,0
75,CAR-075,14,2,2002,2002-02-14,10.498,-64.669,Javier Gutierrez,200,612.358,12.92,2.56,508.362,nd,nd,nd,nd,0,18.1558,14.8548,8.25261,18.1558,26.41,0,nd,0,0,nd,3.3,nd,nd,nd,nd,nd,nd,nd,nd,1.65,nd,0,0,1.65523,0,1.65523,0,nd,0,0,nd,0,0,4.95157,1.65523,0,0,3.3,nd,0,nd
75,CAR-075,14,2,2002,2002-02-14,10.498,-64.669,Javier Gutierrez,500,nd,nd,nd,0,nd,nd,nd,nd,0,0,0,0,0,0,0,nd,0,0,0,0,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0,0,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,0,0,0,0
76,CAR-076,12,3,2002,2002-03-12,10.497,-64.67,Javier Gutierrez,500,29.04,5.47,0.77,18.86,nd,nd,nd,nd,0,0.68,0.49,0,0.37,0,0.18,nd,0,0,0,0.8,nd,nd,nd,nd,nd,0,nd,nd,0,nd,1.6,0,0.12,0,0.06,0,nd,0,0,nd,0.06,0,0,2.15,0,0.06,0,0,0.43,0
76,CAR-076,12,3,2002,2002-03-12,10.497,-64.67,Javier Gutierrez,200,379.342,10.55,1.78,321.592,nd,nd,nd,nd,0,2.26473,6.79419,1.13237,1.13237,0,1.13237,nd,0,0,nd,11.3237,nd,nd,nd,nd,nd,nd,nd,nd,2.26473,nd,13.5884,1.13237,2.26473,0,2.26473,0,nd,0,0,nd,0,0,5.66183,5.66183,0,0,0,nd,1.13237,nd
77,CAR-077,2,4,2002,2002-04-02,10.496,-64.669,Javier Gutierrez,500,6.62,8.31,2.15,21.1,nd,nd,nd,nd,0,0.94,1.16,0.83,0.06,1.61,0.22,nd,0,0.06,0,0.72,nd,nd,nd,nd,nd,0,nd,nd,0.06,nd,1.05,0.55,0.22,0,0.11,0,nd,0,0,nd,0,0,0.17,0.28,0,0,0,0,0.06,0
77,CAR-077,2,4,2002,2002-04-02,10.496,-64.669,Javier Gutierrez,200,571.588,8.71,1.82,466.09,nd,nd,nd,nd,0,12.29,4.1,35.8528,3.07,18.4386,1.02,nd,0,0,nd,6.14622,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,4.1,1.02,0,0,2.05,0,nd,0,0,nd,0,0,13.32,3.07,0,1.02,0,nd,0,nd
78,CAR-078,7,5,2002,2002-05-07,10.5,-64.667,Javier Gutierrez,500,96.24,1.31,0.09,4.57,nd,nd,nd,nd,0.03,0.03,0.26,0.08,0.34,0.18,0.11,nd,0,0,0,0.26,nd,nd,nd,nd,nd,0.03,nd,nd,0.05,nd,0.08,0.03,0.3,0.03,0,0,nd,0,0,nd,0,0,0.24,0.24,0,0,0,0,0,0
78,CAR-078,7,5,2002,2002-05-07,10.5,-64.667,Javier Gutierrez,200,246.677,4.5,0.43,219.71,nd,nd,nd,nd,0,3.99,0.332894,3.33,3,1.66447,0.33,nd,0,0,nd,0.33,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,2.33,0.67,1,0,0,0.67,nd,0,0,nd,1,0,6.99,1.33,0,0,0,nd,0,nd
79,CAR-079,12,6,2002,2002-06-12,10.499,-64.665,Javier Gutierrez,200,312.87,10.63,1.07,285.137,nd,nd,nd,nd,1.14,4.94,4.17644,0.76,4.56,3.79676,1.14,nd,0,0,nd,1.14,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0,0,0,0,0,nd,0,0,nd,2.28,0,3.42,0.38,0,0,0,nd,0,nd
79,CAR-079,12,6,2002,2002-06-12,10.499,-64.665,Javier Gutierrez,500,16.16,4.54,0.35,70.6,nd,nd,nd,nd,1.26,0.39,6.81,0.29,3.01,1.56,0.68,nd,0,0,0,2.14,nd,nd,nd,nd,nd,0,nd,nd,0,nd,1.46,0.68,1.26,0,0.19,0,nd,0,0,nd,0.1,0,3.99,1.26,0,0,0,0,0.49,0
80,CAR-080,9,7,2002,2002-07-09,10.5,-64.67,Javier Gutierrez,200,97.2282,1.4,0.45,77.9889,nd,nd,nd,nd,0,0.14,0.137344,14.01,2.61,0.411913,0,nd,0,0,nd,1.24,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0.14,0,0,0.27,0,nd,0,0,nd,0,0,0.14,0,0,0.14,0,nd,0,nd
80,CAR-080,9,7,2002,2002-07-09,10.5,-64.67,Javier Gutierrez,500,60,0.88,0.13,10.11,nd,nd,nd,nd,0.05,0.03,0.37,3.59,0.09,0.35,0.02,nd,0,0,0,1.15,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0,0.05,0,0,0.03,0,nd,0,0,nd,0,0,0,0.03,0,0,0,0,0.19,0
81,CAR-081,6,8,2002,2002-08-06,10.501,-64.664,Javier Gutierrez,200,1074.94,1.79,0.36,921.72,nd,nd,nd,nd,1.6,35.3,3.21,0,8.02,12.03,0.8,nd,0,7.22,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0.8,nd,24.87,2.41,4.01,0,13.64,0,nd,0,0,nd,2.41,0,35.3,1.6,0,0,0,nd,0,nd
81,CAR-081,6,8,2002,2002-08-06,10.501,-64.664,Javier Gutierrez,500,142.88,1.28,0.31,34.44,nd,nd,nd,nd,0.34,8.82,2.88,0,0.17,2.55,1.87,nd,0,2.04,0,0.68,nd,nd,nd,nd,nd,0,nd,nd,0,nd,2.04,0.17,1.7,0,0.51,0,nd,0,0,nd,0.17,0,1.19,0.85,0,0,0,0,0,0
82,CAR-082,3,10,2002,2002-10-03,10.5012,-64.664,Javier Gutierrez,500,184.48,1.5,0.36,84.59,nd,nd,nd,nd,4.48,2.99,2.69,1.2,2.09,28.4,2.09,nd,0,0,0,4.48,nd,nd,nd,nd,nd,0,nd,nd,0.3,nd,0.3,0,0.6,0,2.09,1.49,nd,0,0,nd,0,0,0.6,2.39,0,0.9,0,0,1.2,0
82,CAR-082,3,10,2002,2002-10-03,10.5012,-64.664,Javier Gutierrez,200,2268.95,12.35,5.69,2051.51,nd,nd,nd,nd,0,52,23.6349,9.45,0,56.7238,0,nd,0,0,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0,0,0,18.91,0,nd,0,0,nd,0,0,28.36,4.73,0,0,0,nd,0,nd
83,CAR-083,7,11,2002,2002-11-07,10.498,-64.669,Javier Gutierrez,200,779.043,4.76,1.09,735.993,nd,nd,nd,nd,2.1,9.45,0,5.25,4.2,5.24959,0,nd,0,0,nd,4.2,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,4.2,0,1.05,0,3.15,0,nd,0,0,nd,0,0,0,0,0,0,4.2,nd,0,nd
83,CAR-083,7,11,2002,2002-11-07,10.498,-64.669,Javier Gutierrez,500,47.19,3.33,1.06,33.99,nd,nd,nd,nd,0.42,0.84,0.33,0.33,0.08,1.42,2.09,nd,0,0,0,3.34,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0.08,0.42,0.17,0,0.75,0,nd,0,0,nd,0,0,0.17,0.92,0,0,1.42,0,0.42,0
84,CAR-084,5,12,2002,2002-12-05,10.498,-64.668,Javier Gutierrez,500,41.34,1.9,0.51,17.14,nd,nd,nd,nd,0.14,1.09,3.67,11.02,0.14,4.22,0.27,nd,0,0,0,0.82,nd,nd,nd,nd,nd,0,nd,nd,0.14,nd,0,0,0,0,0.82,0,nd,0,0,nd,0,0,0.14,1.77,0,0,0,0,0,0
84,CAR-084,5,12,2002,2002-12-05,10.498,-64.668,Javier Gutierrez,200,615.333,5.52,1.57,454.35,nd,nd,nd,nd,0,20.77,7.78887,77.89,1.3,20.774,1.3,nd,0,0,nd,3.89,nd,nd,nd,nd,nd,nd,nd,nd,1.3,nd,0,0,0,0,0,0,nd,0,0,nd,0,0,1.3,22.07,0,0,0,nd,2.6,nd
85,CAR-085,14,1,2003,2003-01-14,10.497,-64.664,Javier Gutierrez,200,740.251,11.99,2.62,701.854,nd,nd,nd,nd,1.32,2.65,1.32425,0,0,22.5123,0,nd,0,0,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0,1.32,0,0,0,nd,0,0,nd,0,0,0,1.32,0,0,7.95,nd,0,nd
85,CAR-085,14,1,2003,2003-01-14,10.497,-64.664,Javier Gutierrez,500,132.06,4.74,1.11,96.72,nd,nd,nd,nd,1.57,0.72,3.26,1.33,0,16.76,1.09,nd,0,0,0,8.32,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0.12,0,0.48,0.36,0,0,nd,0.12,0,nd,0,0,0,0.96,0,0,0,0,0.24,0
86,CAR-086,11,2,2003,2003-02-11,10.499,-64.668,Javier Gutierrez,200,167.658,11.8,4.43,152.41,nd,nd,nd,nd,0,4.64,4.63845,1.33,0,0,0,nd,0,0,nd,0.66,nd,nd,nd,nd,nd,nd,nd,nd,1.33,nd,0,1.99,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0.66,nd
86,CAR-086,11,2,2003,2003-02-11,10.499,-64.668,Javier Gutierrez,500,56.66,8.74,3.2,43.31,nd,nd,nd,nd,0,0,3.27,0,1.01,0,0,nd,2.77,0,0,2.01,nd,nd,nd,nd,nd,0,nd,nd,0,nd,1.01,1.01,0,0,0,0,nd,0,0,nd,0,0,0,0,0,2.27,0,0,0,0
87,CAR-087,11,3,2003,2003-03-11,10.498,-64.668,Javier Gutierrez,500,79.28,11.38,4.24,63.39,nd,nd,nd,nd,0,0.41,2.45,1.02,0.2,0,5.71,nd,0,0,0,2.65,nd,nd,nd,nd,nd,0,nd,nd,0.41,nd,0.61,0,0,0,2.4,0,nd,0,0,nd,0,0,0.2,0.2,0,0,0,0,0,0
87,CAR-087,11,3,2003,2003-03-11,10.498,-64.668,Javier Gutierrez,200,1109.89,21.85,4.85,1054.17,nd,nd,nd,nd,0,15,12.8557,12.86,0,0,0,nd,0,0,nd,2.14,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0,0,0,12.86,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0,nd
88,CAR-088,8,4,2003,2003-04-08,10.499,-64.668,Javier Gutierrez,200,214.95,11.97,3.18,199.136,nd,nd,nd,nd,0,0,1.86186,0,0.93,2.79163,6.51,nd,0,0,nd,0.93,nd,nd,nd,nd,nd,nd,nd,nd,2.79,nd,0,0,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0,nd
88,CAR-088,8,4,2003,2003-04-08,10.499,-64.668,Javier Gutierrez,500,106.81,8.42,2.3,74.2,nd,nd,nd,nd,0,0,2.15,0.36,0.9,14.52,10.75,nd,1.08,0.54,0,0.72,nd,nd,nd,nd,nd,0,nd,nd,0.18,nd,0.72,0,0,0,0,0,nd,0.54,0,nd,0,0,0,0,0,0,0,0,0.18,0
89,CAR-089,13,5,2003,2003-05-13,10.4962,-64.6694,Javier Gutierrez,200,306.762,11.26,2.09,215.616,nd,nd,nd,nd,0.62,0.62,7.1,25.95,14.52,26.5659,3.71,nd,0,0,nd,5.87,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0,0,0.31,2.78,0,nd,0.93,0,nd,0,0,0,1.24,0,0,0,nd,0.93,nd
89,CAR-089,13,5,2003,2003-05-13,10.4962,-64.6694,Javier Gutierrez,500,88.03,6.03,0.98,63.94,nd,nd,nd,nd,0.35,0.94,1.41,7.4,2,4.82,0.24,nd,0,0,0,3.88,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0.12,0,0,0,1.76,0,nd,0,0,nd,0,0,0,0.82,0,0,0.24,0,0.12,0
90,CAR-090,10,6,2003,2003-06-10,10.5,-64.666,Javier Gutierrez,500,85.78,8.8,3,63.78,nd,nd,nd,nd,0.3,0.45,2.23,0.15,1.34,9.51,1.34,nd,0.45,0.15,0,4.76,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0,0,0,0,0.3,0,nd,0.45,0,nd,0,0,0,0,0,0,0,0,0.59,0
90,CAR-090,10,6,2003,2003-06-10,10.5,-64.666,Javier Gutierrez,200,363.483,13.57,4.19,266.354,nd,nd,nd,nd,0.38,7.21,20.11,16.69,9.11,26.9389,3.41,nd,0.76,0,nd,4.93,nd,nd,nd,nd,nd,nd,nd,nd,1.14,nd,1.52,0.76,0,0,4.17,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0,nd
91,CAR-091,8,7,2003,2003-07-08,10.498,-64.665,Javier Gutierrez,200,541.466,7.5,1.73,452.81,nd,nd,nd,nd,0,2.96,44.9259,7.68,20.1,0,0.59,nd,1.77,0,nd,5.32,nd,nd,nd,nd,nd,nd,nd,nd,2.36,nd,0.59,0,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,2.36,nd,0,nd
91,CAR-091,8,7,2003,2003-07-08,10.498,-64.665,Javier Gutierrez,500,64.99,5.25,1.98,49.31,nd,nd,nd,nd,1.25,0.21,2.72,0.42,0.42,0.63,6.69,nd,1.67,0,0,1.25,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0.21,0.21,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,0,0,0,0
93,CAR-093,9,9,2003,2003-09-09,10.497,-64.667,Javier Gutierrez,500,56.92,4.82,1.84,42.19,nd,nd,nd,nd,0.4,0.8,1.61,0.27,1.61,3.8,1.87,nd,1.07,0,0,2.41,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0.54,0,0,0,0.4,0,nd,0,0,nd,0,0,0,0,0,0,0,0,0.67,0
93,CAR-093,9,9,2003,2003-09-09,10.497,-64.667,Javier Gutierrez,200,452.666,8.57,1.93,374.99,nd,nd,nd,nd,0,2.68,7.14266,10.71,6.25,23.2136,6.25,nd,5.36,0,nd,6.25,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0,0,0,1.79,0,nd,0,0,nd,0,0,2.68,4.46,0,0,0,nd,0.89,nd
94,CAR-094,11,11,2003,2003-11-11,10.4972,-64.6653,Javier Gutierrez,500,61.72,3.07,0.83,44.79,nd,nd,nd,nd,0.35,0.18,3.17,0.35,0.53,3.53,5.64,nd,0.53,0.18,0,2.12,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0.18,0,0,0.18,0,0,nd,0,0,nd,0,0,0,0,0,0,0,0,0,0
94,CAR-094,11,11,2003,2003-11-11,10.4972,-64.6653,Javier Gutierrez,200,354.087,4.33,1.71,323.06,nd,nd,nd,nd,0,0,2.82152,2.82,5.64,9.87534,2.82,nd,1.41,0,nd,1.41,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,2.82,0,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,1.41,nd,0,nd
95,CAR-095,9,12,2003,2003-12-09,10.499,-64.666,Javier Gutierrez,200,579.088,9.08,2.78,449.624,nd,nd,nd,nd,0,2.31,12.7143,48.55,1.16,47.3897,4.62,nd,0,0,nd,2.31,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,6.94,0,0,1.16,2.31,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0,nd
95,CAR-095,9,12,2003,2003-12-09,10.499,-64.666,Javier Gutierrez,500,67.85,3.91,2.14,28.44,nd,nd,nd,nd,0.35,0.59,2.24,5.43,2.36,21.95,1.18,nd,1.06,0.12,0,0.59,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0.94,0,0,0.12,0.47,0,nd,0,0,nd,0,0,0.12,1.06,0,0,0.12,0,0.71,0
96,CAR-096,13,1,2004,2004-01-13,10.498,-64.668,Javier Gutierrez,500,74.1,2.83,0.6,52.93,nd,nd,nd,nd,0.3,1.81,8.17,1.66,0,0.45,1.06,nd,0,0,3.18,5.29,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0,0,0,0,0,0.15,nd,0,0,nd,2.27,0,0,0,0,0,0,0,0,0
96,CAR-096,13,1,2004,2004-01-13,10.498,-64.668,Javier Gutierrez,200,574.131,10.66,2.57,466.195,nd,nd,nd,nd,0,1.5,4.49758,8.99,3,2.99839,3,nd,0,0,nd,16.49,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,1.5,0,0,0,3,0,nd,0,0,nd,62.96,0,0,0,0,0,0,nd,0,nd
97,CAR-097,8,2,2004,2004-02-08,10.499,-64.668,Javier Gutierrez,200,277.289,5.6,1.26,228.689,nd,nd,nd,nd,0,7.53,2.05,17.8,0,0,0,nd,0,0,nd,7.53,nd,nd,nd,nd,nd,nd,nd,nd,2.74,nd,0,3.42,0,0,7.53,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0,nd
97,CAR-097,8,2,2004,2004-02-08,10.499,-64.668,Javier Gutierrez,500,35.01,3.31,1.14,22.32,nd,nd,nd,nd,0.1,0,2.46,0.69,4.33,1.38,0.79,nd,0,0,0.1,2.75,nd,nd,nd,nd,nd,0,nd,nd,0.1,nd,0.1,0,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,0,0,0,0
98,CAR-098,8,3,2004,2004-03-08,10.501,-64.666,Javier Gutierrez,500,47.67,4.76,2.13,39.58,nd,nd,nd,nd,0.67,0.33,0.89,1.55,0.33,0.33,0,nd,0,0,0.44,2.44,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0.33,0,0,0,0.67,0,nd,0,0,nd,0,0,0,0.67,0,0,0,0,0,0
98,CAR-098,8,3,2004,2004-03-08,10.501,-64.666,Javier Gutierrez,200,626.583,6.17,1.78,567.189,nd,nd,nd,nd,0,0,2.96958,17.82,0,4.45437,5.94,nd,0,0,nd,17.82,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,1.48,2.97,0,0,5.94,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0,nd
99,CAR-099,6,4,2004,2004-04-06,10.5,-64.666,Javier Gutierrez,500,77.1,10.59,4.36,69.09,nd,nd,nd,nd,0,0.5,4.34,0,0,0.5,0.33,nd,0,0,0,1.34,nd,nd,nd,nd,nd,0.17,nd,nd,0,nd,0.5,0,0.33,0,0,0,nd,0,0,nd,0,0,0,0,0,0,0,0,0,0
99,CAR-099,6,4,2004,2004-04-06,10.5,-64.666,Javier Gutierrez,200,434.476,18.31,5.07,409.912,nd,nd,nd,nd,0,3.07,10.7468,0,0,1.53525,1.54,nd,0,0,nd,3.07,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,3.07,0,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0,nd
100,CAR-100,13,5,2004,2004-05-13,10.501,-64.667,Javier Gutierrez,200,14.9676,11.47,4.07,1.24588,nd,nd,nd,nd,0,0,1.24588,1.25,3.74,1.24588,1.25,nd,0,0,nd,3.74,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0,0,0,1.25,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0,nd
100,CAR-100,13,5,2004,2004-05-13,10.501,-64.667,Javier Gutierrez,500,44.68,5.11,2.82,38.93,nd,nd,nd,nd,0.36,0,0.72,0.72,0.72,0.96,1.32,nd,0,0,0,0.6,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0,0,0,0,0,0,nd,0,0,nd,0,0,0,0,0.36,0,0,0,0,0
101,CAR-101,8,6,2004,2004-06-08,10.501,-64.664,Javier Gutierrez,200,394.891,14.01,3.86,302.144,nd,nd,nd,nd,4.99,8.97,1.99436,0,3.99,6.98227,5.98,nd,0,0,nd,3.99,nd,nd,nd,nd,nd,nd,nd,nd,1,nd,1,6.98,0,0,0,0,nd,0,0,nd,0,0,36.9,0,9.97,0,0,nd,0,nd
101,CAR-101,8,6,2004,2004-06-08,10.501,-64.664,Javier Gutierrez,500,74.82,10.72,4.29,42.99,nd,nd,nd,nd,1.31,7.23,1.41,0,0,2.91,10.4,nd,1.61,0,0,1.41,nd,nd,nd,nd,nd,0,nd,nd,0.3,nd,0.4,1.31,0,0,0.1,0,nd,0,0,nd,0,0,1.31,0,2.41,0,0,0,0.1,0
102,CAR-102,7,7,2004,2004-07-07,10.499,-64.665,Javier Gutierrez,500,41,7.91,2.33,3.95,nd,nd,nd,nd,0.73,0.55,0,0,0,0,7.58,nd,0,0,0,0.64,nd,nd,nd,nd,nd,0,nd,nd,0.18,nd,0.18,0,0,0.18,0,0,nd,0,0,nd,0,0,0,0,0,0,0,0,0.09,0
102,CAR-102,7,7,2004,2004-07-07,10.499,-64.665,Javier Gutierrez,200,115.939,18.15,5.62,88.09,nd,nd,nd,nd,0,2.74,1.36929,2.28,0,0,16.89,nd,0.91,0,nd,1.83,nd,nd,nd,nd,nd,nd,nd,nd,1.83,nd,0,0,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,0,nd,0,nd
103,CAR-103,10,8,2004,2004-08-10,10.503,-64.662,Javier Gutierrez,500,55.2,8.86,2.95,44.9,nd,nd,nd,nd,1.32,0,0.56,0.61,1.02,0.86,3.66,nd,0,0,0,1.63,nd,nd,nd,nd,nd,0,nd,nd,0.1,nd,0,0.1,0,0,0.15,0,nd,0,0,nd,0,0,0,0,0,0,0,0,0.36,0
103,CAR-103,10,8,2004,2004-08-10,10.503,-64.662,Javier Gutierrez,200,433.322,15.8,3.88,405.03,nd,nd,nd,nd,0.52,0.52,2.1,4.72,6.29,1.57196,5.24,nd,0,0,nd,3.14,nd,nd,nd,nd,nd,nd,nd,nd,0.52,nd,0,0,0,0,1.57,0,nd,0,0,nd,0,0,0,0,1.05,0,0,nd,1.05,nd
